Title,PositiveReview,NegativeReview,Score,GuestName,GuestCountry,RoomType,NumberOfNights,VisitDate,GroupType,PropertyResponse
"Exceptional staff and room cleanliness, an easy 10 minute drive from the airport",We picked up our hire care from the airport and within 10 minutes we had arrived. A family run hotel. Exceptional staff who were so friendly and keen to please. Rooms were also exceptional in their cleanliness and although compact had everything that you might need for your stay. I rarely write reviews but this place deserves to do well. Also only 10 minutes walk from beach and loads of restaurants.,I was happy with everything,10.0,Graeme,United Kingdom,Double Room,1 night,September 2021,Couple,
Very Good,"Staff and owners were very welcoming, breakfast was a typical Cypriot one, not much parking around the property which was an apartment before being converted into this hotel, the inside is excellent compared to the view from outside",Aircraft noise does not bother me but the noise from aircraft landing and taking off may be an issue if you have young family or just want a quiet area,8.0,Eben,United Kingdom,Double Room with Balcony,1 night,September 2021,Solo traveler,
Great for your money,Very friendly and helpful staff. Clean rooms. Comfortable bed. Close to bus stop.,Slight smell from toilet after night. Pretty far from major tourist spots.,9.0,Jacek,Poland,Double Room with Balcony,4 nights,September 2021,Couple,
Wonderful,"6 mins drive from the airport 
Lovely clean room
Comfortable bed
Easy parking 
Lovely helpful staff",Nothing we didn’t like,9.0,Karen,Cyprus,Double Room with Balcony,1 night,September 2021,Couple,
Little Larnaca gem 💎,"Clean, modern room, with comfy bed and great air conditioning. Fab location Close to Mackenzie beach and bars.",,10.0,Leanne,United Kingdom,Double Room with Balcony,1 night,September 2021,Family,
Exceptional,"Super clean, good beds.",,10.0,Josef,Czech Republic,Double Room,1 night,September 2021,Group,
Modern clean 3 * near the airport.,"* Very clean and comfy room with balcony
* Simple clear contemporary decoration
* Near the airport
* Friendly staff.
* Healthy breakfast.","* Weak WiFi
*This hotel being new , the staff , although very friendly , still needs to improve its organisation and collaboration. 
*Pool is very tiny.
* Far from centre town.",9.0,World,Spain,Double Room with Balcony,1 night,September 2021,Solo traveler,"Thank you for all your detailed comments;
Actually the swimming pool is for private use, we don’t promote it on booking site thus you are commenting something that is not even accessible for guests."
Exceptional,"Very nice staff, very clean and a home-experience. Definitely recommend",,10.0,Kamal,United Arab Emirates,Double Room with Balcony,1 night,September 2021,Solo traveler,
Wonderful,"We’ve chosen La Veranda as we had an early flight from Larnaka airport, and we enjoyed one night stay. There is a beach strip nearby with various restaurants for every taste - we walked there, had cocktails in one place, and a dinner in another. Breakfast in the hotel was great, and we were in the airport in no time at all.",Nothing to complain about,9.0,Daniel,Russia,Double Room with Balcony,1 night,September 2021,Family,
Exceptional,"The communication prior to arriving was brilliant. The staff at the hotel were friendly, polite and nothing was too much for them. Always willing to help in anyway which made our stay enjoyable. Extremely clean too.",,10.0,Angela,United Kingdom,Double Room with Balcony,3 nights,September 2021,Family,
Wonderful,"Staff is friendly, hotel is comfortable and clean",,9.0,Rami,Lebanon,Double Room with Balcony,1 night,September 2021,Couple,
Great,Location close to airport,N/a,8.0,Snezana,Slovakia,Standard Triple Room,1 night,August 2021,Group,
Exceptional,Excellent all round would come again,Good location and nice atmosphere,10.0,Charles,Australia,Double Room with Balcony,1 night,August 2021,Solo traveler,
"Felt welcome from the time I stepped into the lobby and until my departure. Great people running the hotel, food delicio",Everything!,,10.0,Ann,Norway,Double Room with Balcony,1 night,August 2021,Solo traveler,
Very Good,The location near Makanzie Beach6,,8.0,Raymond,Angola,Double Room with Balcony,4 nights,August 2021,Couple,
Fantastic place with very helpful staff,"Excellent service, very kind and helpful staff, the room with a balcony overlooking Makenzy and Salt Lake made an amazing impression. I recommend the breakfasts, which are really delicious.",,10.0,Jarosław,Poland,Double Room with Balcony,4 nights,August 2021,Couple,
Exceptional,"The staff were exceptionally attentive to ensuring that our stay was pleasent. Hospitality was great, highly recommend the hotel 😊",,10.0,Hunor,Hungary,Double Room with Balcony,1 night,August 2021,Couple,
Perfect place to spend a night before catching your flight,Enjoyed an excellent overnight stay before heading the the airport. Loads of bars and restaurants 5 mins walk away on the beach. Really friendly and accomodating hosts.,,10.0,Adam,United Kingdom,Standard Triple Room,1 night,August 2021,Family,
Wonderful,"We arrived in the night and were checked-in quickly and slept well the rest of the night, next morning we were ready to continue our trip. The hotel had been just renovated, very convenient for our short stay in Larnaka. Actually, it was a pity not to be able to stay longer. Next time.",,9.0,Seppo,Austria,Standard Triple Room,1 night,July 2021,Family,
Excellent,Staff excellent and accommodating. Very nice clean rooms,,10.0,Alan,United Kingdom,Double Room with Balcony,1 night,August 2021,Couple,
Nice choice for travelers in Larnaca,Friendly Staff. Nice room with comfortable beds and nice bathroom. Good choice for travelers in larnaca,,10.0,Jose,Spain,Two-Bedroom Suite,1 night,August 2021,Family,
Exceptional,Clean and perfect location.,Nothing.,10.0,Dina,Germany,Standard Triple Room,3 nights,August 2021,Group,
Very Good,"Location and staff
The food was amazing at the restaurant",Mostly the bathroom floor sink was closed with tapes and there was bugs under it. But I think it was a special case and don't think that all hotel rooms has the same issue.,8.0,Abdulmalik,Saudi Arabia,Double Room with Balcony,1 night,August 2021,Couple,
"Spotless clean, friendly & efficient staff, excellent breakfast, a throughly enjoyable stay and highly recommended","Extremely clean, newly renovated, efficiently run, good location from the airport and sea.",Nothing,10.0,Sonia,United Kingdom,Double Room with Balcony,1 night,August 2021,Couple,
"Hotel, service, location - all super great! The only disappointing thing was not really WiFi connection",People working here are the best ever,WiFi,10.0,Anastasiiy,Ukraine,Family Suite with Balcony,5 nights,August 2021,Group,
Wonderful,"Bright, cozy, looks like almost new hotel in silent part of town. Very helpful staff. 15 minutes drive from the airport, 15 walk to the city center, about 300 meters to the nice beach.",TV with only 3 channels. But that was not a big problem :),9.0,Anton,Lithuania,Double Room with Balcony,1 night,August 2021,Solo traveler,
Exceptional,"I stayed for a couple of nights so that I could quickly get to the airport. Cozy, clean hotel, with wonderful staff.  Can also enjoy delicious breakfast, if desired. Nice place, recommend",,10.0,Irina,Russia,Double Room with Balcony,1 night,July 2021,Couple,Thank you so much for your nice review and recommendations. We are happy hosting you. Hoping to see you again.
Amazing hotel,"Location is great. Rooms were a great size, very clean, modern and comfy.",Pool could of been bigger but you’re right next to an amazing beach “mckenzie beach” so it didn’t matter.,10.0,Kelly,United Kingdom,Double Room,2 nights,August 2021,Family,"Thank you so much for your nice comments and the great score. 
you are right, being near makenzie beach , you won’t need a swimming pool. 
Yes actually the swimming pool at the hotel is for private use, thus we don’t promote it on booking sites. But of course our guests are always welcomed if they would like to make use of it.
Hope to see you another time whenever you come to larnaca."
"Comfortable, good location, friendly and helpful.","Richard is the chef at the hotel.  The food he creates is outstanding and delicious.  Even the simplest of food ie. chicken burger and salad was made to taste exceptional.  Whether you stay at the hotel or not you should go to their restaurant for lunch or dinner or both. It will not disappoint and you will want to keep going back.  Richard cooks from the heart.  
Overall the hotel is well situated, the rooms are stylish and the beds very comfortable. The staff are helpful and friendly. 
This was my first stay at the hotel and I would gladly stay again. I highly recommend it.",,8.0,Rewa,United Kingdom,Double Room with Balcony,1 night,August 2021,Solo traveler,"Thank you so much for your detailed and kind comments , we were happy hosting you. Thank you for your recommendations on the restaurant and the hotel. Hope to see you another time at la veranda hotel and restaurant."
Amazing,"It was very clean, very comfortable easily a 5 star hotel. Very welcoming, 5 minute walk to the beach. The chef is incredible and very friendly, the kind of person who loves nothing more than you enjoying his food!",,10.0,Zoe,United Kingdom,Double Room with Balcony,2 nights,August 2021,Family,
